station_code,station_name,blk_no,building,latitude,longitude,postal,road_name,searchval,type
NS1,Jurong East,10,JURONG EAST MRT STATION,1.33315261987297,103.742286544006,609690,JURONG EAST STREET 12,JURONG EAST MRT STATION,mrt
NS2,Bukit Batok,10,BUKIT BATOK MRT STATION,1.34903410858812,103.749566764129,659958,BUKIT BATOK CENTRAL,BUKIT BATOK MRT STATION,mrt
NS3,Bukit Gombak,802,BUKIT GOMBAK MRT STATION,1.35861159094194,103.751790910733,659083,BUKIT BATOK WEST AVENUE 5,BUKIT GOMBAK MRT STATION,mrt
NS4,Choa Chu Kang,10,CHOA CHU KANG MRT STATION,1.38536316540226,103.744370779756,689810,CHOA CHU KANG AVENUE 4,CHOA CHU KANG MRT STATION,mrt
NS5,Yew Tee,61,YEW TEE MRT STATION,1.39753501762625,103.747405114336,689715,CHOA CHU KANG DRIVE,YEW TEE MRT STATION,mrt
NS7,Kranji,960,KRANJI MRT STATION,1.42508698073649,103.762137459497,738702,WOODLANDS ROAD,KRANJI MRT STATION,mrt
NS8,Marsiling,71,MARSILING MRT STATION,1.4325211485503,103.774074641403,739044,WOODLANDS AVENUE 3,MARSILING MRT STATION,mrt
NS9,Woodlands,11,WOODLANDS MRT STATION,1.43606698186149,103.787930806962,737736,WOODLANDS SQUARE,WOODLANDS MRT STATION,mrt
NS10,Admiralty,70,ADMIRALTY MRT STATION,1.44058500086852,103.800988000403,738344,WOODLANDS AVENUE 7,ADMIRALTY MRT STATION,mrt
NS11,Sembawang,11,SEMBAWANG MRT STATION,1.44905082158503,103.820046140211,759775,CANBERRA ROAD,SEMBAWANG MRT STATION,mrt
NS13,Yishun,301,YISHUN MRT STATION,1.42944308039361,103.83500504643,769093,YISHUN AVENUE 2,YISHUN MRT STATION,mrt
NS14,Khatib,201,KHATIB MRT STATION,1.41738337009568,103.832979908243,769092,YISHUN AVENUE 2,KHATIB MRT STATION,mrt
NS15,Yio Chu Kang,3000,YIO CHU KANG MRT STATION,1.38175588659406,103.84494728206,569813,ANG MO KIO AVENUE 8,YIO CHU KANG MRT STATION,mrt
NS16,Ang Mo Kio,2450,ANG MO KIO MRT STATION,1.36993317536445,103.849558130943,569811,ANG MO KIO AVENUE 8,ANG MO KIO MRT STATION,mrt
NS17,Bishan,200,BISHAN MRT STATION,1.3508389878474,103.848143964542,579827,BISHAN ROAD,BISHAN MRT STATION,mrt
NS18,Braddell,377,BRADDELL MRT STATION,1.34046900102774,103.846799083148,319756,LORONG 1 TOA PAYOH,BRADDELL MRT STATION,mrt
NS19,Toa Payoh,510,TOA PAYOH MRT STATION,1.33262898752974,103.847501764246,319398,LORONG 6 TOA PAYOH,TOA PAYOH MRT STATION,mrt
NS20,Novena,250,NOVENA MRT STATION,1.32044079120159,103.843825618748,307642,THOMSON ROAD,NOVENA MRT STATION,mrt
NS21,Newton,49,NEWTON MRT STATION,1.31232009946014,103.837985299521,228234,SCOTTS ROAD,NEWTON MRT STATION,mrt
NS22,Orchard,437,ORCHARD MRT STATION,1.30397987430726,103.832245299857,238878,ORCHARD ROAD,ORCHARD MRT STATION,mrt
NS23,Somerset,1,SOMERSET MRT STATION,1.30026416739007,103.839085753124,238162,SOMERSET ROAD,SOMERSET MRT STATION,mrt
NS24,Dhoby Ghaut,11,DHOBY GHAUT MRT STATION,1.29870130619238,103.846115155028,238826,ORCHARD ROAD,DHOBY GHAUT MRT STATION,mrt
NS25,City Hall,150,CITY HALL MRT STATION,1.29293624242153,103.852585892041,179100,NORTH BRIDGE ROAD,CITY HALL MRT STATION,mrt
NS26,Raffles Place,5,RAFFLES PLACE MRT STATION,1.2841256104366,103.851461712342,048618,RAFFLES PLACE,RAFFLES PLACE MRT STATION,mrt
NS27,Marina Bay,21,MARINA BAY MRT STATION,1.27642735449345,103.854597777026,018925,PARK STREET,MARINA BAY MRT STATION,mrt
NS28,Marina South Pier,33,MARINA SOUTH PIER MRT STATION,1.2710270361201,103.862447515736,018948,MARINA COASTAL DRIVE,MARINA SOUTH PIER MRT STATION,mrt
EW1,Pasir Ris,10,PASIR RIS MRT STATION,1.37304321206227,103.949284605816,519634,PASIR RIS CENTRAL,PASIR RIS MRT STATION,mrt
EW2,Tampines,20,TAMPINES MRT STATION,1.35330153265954,103.945144689278,529538,TAMPINES CENTRAL 1,TAMPINES MRT STATION,mrt
EW3,Simei,30,SIMEI MRT STATION,1.34320289478118,103.953371694102,529888,SIMEI STREET 3,SIMEI MRT STATION,mrt
EW4,Tanah Merah,920,TANAH MERAH MRT STATION,1.32718775009106,103.946348136559,467356,NEW UPPER CHANGI ROAD,TANAH MERAH MRT STATION,mrt
EW5,Bedok,315,BEDOK MRT STATION,1.32397996868161,103.929984495066,467347,NEW UPPER CHANGI ROAD,BEDOK MRT STATION,mrt
EW6,Kembangan,55,KEMBANGAN MRT STATION,1.32103824851416,103.912949388089,416551,SIMS AVENUE EAST,KEMBANGAN MRT STATION,mrt
EW7,Eunos,30,EUNOS MRT STATION,1.31978354779207,103.903225812967,409423,EUNOS CRESCENT,EUNOS MRT STATION,mrt
EW8,Paya Lebar,30,PAYA LEBAR MRT STATION,1.31811208187582,103.893060355199,409006,PAYA LEBAR ROAD,PAYA LEBAR MRT STATION,mrt
EW9,Aljunied,81,ALJUNIED MRT STATION,1.31643261181573,103.882906044385,388310,LORONG 25 GEYLANG,ALJUNIED MRT STATION,mrt
EW10,Kallang,5,KALLANG MRT STATION,1.31148890998822,103.871386541754,387405,SIMS AVENUE,KALLANG MRT STATION,mrt
EW11,Lavender,50,LAVENDER MRT STATION,1.30737750842617,103.862767633612,208699,KALLANG ROAD,LAVENDER MRT STATION,mrt
EW12,Bugis,220,BUGIS MRT STATION,1.30046507606683,103.855706414086,188022,VICTORIA STREET,BUGIS MRT STATION,mrt
EW13,City Hall,150,CITY HALL MRT STATION,1.29293624242153,103.852585892041,179100,NORTH BRIDGE ROAD,CITY HALL MRT STATION,mrt
EW14,Raffles Place,5,RAFFLES PLACE MRT STATION,1.2841256104366,103.851461712342,048618,RAFFLES PLACE,RAFFLES PLACE MRT STATION,mrt
EW15,Tanjong Pagar,120,TANJONG PAGAR MRT STATION,1.2765613173725,103.845725186759,069119,MAXWELL ROAD,TANJONG PAGAR MRT STATION,mrt
EW16,Outram Park,300,OUTRAM PARK MRT STATION,1.27973970679336,103.839513521005,059816,EU TONG SEN STREET,OUTRAM PARK MRT STATION,mrt
EW17,Tiong Bahru,300,TIONG BAHRU MRT STATION,1.28610253615777,103.827445112419,168731,TIONG BAHRU ROAD,TIONG BAHRU MRT STATION,mrt
EW18,Redhill,920,REDHILL MRT STATION,1.28963453358141,103.816740969874,158792,TIONG BAHRU ROAD,REDHILL MRT STATION,mrt
EW19,Queenstown,301,QUEENSTOWN MRT STATION,1.29455085184934,103.806077155982,149729,COMMONWEALTH AVENUE,QUEENSTOWN MRT STATION,mrt
EW20,Commonwealth,375,COMMONWEALTH MRT STATION,1.30250853704708,103.798226128263,149735,COMMONWEALTH AVENUE,COMMONWEALTH MRT STATION,mrt
EW21,Buona Vista,100,BUONA VISTA MRT STATION,1.30722370820444,103.790253514502,139345,NORTH BUONA VISTA ROAD,BUONA VISTA MRT STATION,mrt
EW22,Dover,200,DOVER MRT STATION,1.31140529320966,103.778637841909,138677,COMMONWEALTH AVENUE WEST,DOVER MRT STATION,mrt
